Team,Elo,Conference,RatingUpdated
UL Monroe Warhawks,1031.6993531827911,Sun Belt,False
Alabama A&M Bulldogs,895.550558227246,SWAC,False
Alabama State Lady Hornets,921.4316216795188,SWAC,False
Alcorn State Lady Braves,906.4143717898412,SWAC,False
Arkansas-Pine Bluff Golden Lions,912.3620151907612,SWAC,False
Bethune-Cookman Wildcats,880.277375977876,SWAC,False
Florida A&M Rattlers,851.4504839664392,SWAC,False
Grambling Lady Tigers,865.5614186396454,SWAC,False
Jackson State Lady Tigers,948.2224329695608,SWAC,False
Mississippi Valley State Devilettes,886.5380468995976,SWAC,False
Prairie View A&M Lady Panthers,888.6643549900299,SWAC,False
Southern Jaguars,926.0837340629768,SWAC,False
Texas Southern Tigers,940.9226486954658,SWAC,False
Abilene Christian Wildcats,1021.890388901308,WAC,False
California Baptist Lancers,1044.2092343079837,WAC,False
Southern Utah Thunderbirds,1027.0770118521768,WAC,False
Tarleton State Texans,980.1880684374692,WAC,False
UT Arlington Mavericks,1022.9833226254722,WAC,False
Utah Tech Trailblazers,969.970223095473,WAC,False
Utah Valley Wolverines,1009.2119967403582,WAC,False
Gonzaga Bulldogs,1034.4698380262598,WCC,False
Loyola Marymount Lions,1028.8398326867903,WCC,True
Oregon State Beavers,1005.1761569775,WCC,False
Pacific Tigers,996.7249455521626,WCC,False
Pepperdine Waves,1024.228998729125,WCC,False
Portland Pilots,995.2028278980712,WCC,False
San Diego Toreros,931.8251336985088,WCC,False
San Francisco Dons,1040.4849721102273,WCC,True
Santa Clara Broncos,1068.3096439982564,WCC,False
Seattle U Redhawks,923.6359827132222,WCC,False
Saint Mary's Gaels,992.5437418500646,WCC,False
Washington State Cougars,916.5374508924816,WCC,False
