Team,Elo,Conference,RatingUpdated
Alabama Crimson Tide,1215.8533938198975,SEC,False
Arkansas Razorbacks,1185.00184656883,SEC,False
Auburn Tigers,1042.7202896195688,SEC,False
Florida Gators,1306.6800869575782,SEC,False
Georgia Bulldogs,1141.877075524991,SEC,False
Kentucky Wildcats,1174.2569371699929,SEC,False
LSU Tigers,1029.1534157812562,SEC,False
Mississippi State Bulldogs,1010.3976748421358,SEC,False
Missouri Tigers,1125.3713897628231,SEC,False
Oklahoma Sooners,1102.529765546802,SEC,False
Ole Miss Rebels,1006.1336189103072,SEC,False
South Carolina Gamecocks,997.6988545149824,SEC,False
Tennessee Volunteers,1180.6665798574113,SEC,False
Texas Longhorns,1150.7423921983943,SEC,False
Texas A&M Aggies,1118.0878087320823,SEC,False
Vanderbilt Commodores,1163.572318486398,SEC,False
Chattanooga Mocs,915.8198163197382,Southern,False
East Tennessee State Buccaneers,1040.3254157544654,Southern,False
Furman Paladins,988.3139408193462,Southern,False
Mercer Bears,1018.0583163331536,Southern,False
Samford Bulldogs,1059.4421726513397,Southern,False
The Citadel Bulldogs,840.209822137724,Southern,False
UNC Greensboro Spartans,927.9845107480894,Southern,False
VMI Keydets,711.9302177588038,Southern,False
Western Carolina Catamounts,1008.7650022384496,Southern,False
Wofford Terriers,962.5424760921218,Southern,False
East Texas A&M Lions,857.483530749129,Southland,False
Houston Christian Huskies,860.4901725650259,Southland,False
Incarnate Word Cardinals,880.7364938617019,Southland,False
Lamar Cardinals,881.3753930928498,Southland,False
McNeese Cowboys,1173.0747844203604,Southland,False
New Orleans Privateers,1012.5968608075956,Southland,False
Nicholls Colonels,915.9835250901006,Southland,False
Northwestern State Demons,895.848605166637,Southland,False
SE Louisiana Lions,841.9214387706364,Southland,False
Stephen F. Austin Lumberjacks,1157.6567767454344,Southland,False
Texas A&M-Corpus Christi Islanders,972.7571134555352,Southland,False
UT Rio Grande Valley Vaqueros,1055.170678916631,Southland,False
Denver Pioneers,950.1611828661188,Summit,False
Kansas City Roos,700.2720087747318,Summit,False
North Dakota Fighting Hawks,919.5600506360452,Summit,False
North Dakota State Bison,1087.556224379501,Summit,False
Omaha Mavericks,947.886918867944,Summit,False
Oral Roberts Golden Eagles,865.4874442327476,Summit,False
South Dakota Coyotes,949.6589744588392,Summit,False
South Dakota State Jackrabbits,942.7717228824116,Summit,False
St. Thomas-Minnesota Tommies,1115.5195160491396,Summit,False
App State Mountaineers,1026.716164219133,Sun Belt,False
Arkansas State Red Wolves,1078.2560048841212,Sun Belt,False
Coastal Carolina Chanticleers,1026.846171393831,Sun Belt,False
Georgia Southern Eagles,950.431706711762,Sun Belt,False
Georgia State Panthers,882.8949315099522,Sun Belt,False
James Madison Dukes,1021.5111446165992,Sun Belt,False
Louisiana Ragin' Cajuns,918.6336659164184,Sun Belt,False
Marshall Thundering Herd,981.3913388459086,Sun Belt,False
Old Dominion Monarchs,953.4000690447292,Sun Belt,False
South Alabama Jaguars,1027.9374854403404,Sun Belt,False
Southern Miss Golden Eagles,1001.9641953038677,Sun Belt,False
Texas State Bobcats,1034.831577519862,Sun Belt,False
Troy Trojans,1033.5712256921893,Sun Belt,False
UL Monroe Warhawks,739.6291211114955,Sun Belt,False
Alabama A&M Bulldogs,915.7722130900386,SWAC,False
Alabama State Hornets,884.1237948329168,SWAC,False
Alcorn State Braves,816.2977780096032,SWAC,False
Arkansas-Pine Bluff Golden Lions,854.1832891478543,SWAC,False
Bethune-Cookman Wildcats,995.479230785326,SWAC,False
Florida A&M Rattlers,917.9180858174092,SWAC,False
Grambling Tigers,856.646704709286,SWAC,False
Jackson State Tigers,821.8965613801596,SWAC,False
Mississippi Valley State Delta Devils,651.8787241475768,SWAC,False
Prairie View A&M Panthers,898.629424759154,SWAC,False
Southern Jaguars,905.160197925624,SWAC,False
Texas Southern Tigers,938.143183268228,SWAC,False
Abilene Christian Wildcats,938.3687628093112,WAC,False
California Baptist Lancers,1073.478720676169,WAC,False
Southern Utah Thunderbirds,940.5557728235688,WAC,False
Tarleton State Texans,928.9305631031726,WAC,False
UT Arlington Mavericks,975.2463876658586,WAC,False
Utah Tech Trailblazers,1006.1012343367036,WAC,False
Utah Valley Wolverines,1118.337319508621,WAC,False
Gonzaga Bulldogs,1261.1042146080972,WCC,False
Loyola Marymount Lions,978.8811316953232,WCC,False
Oregon State Beavers,1010.6006271299676,WCC,False
Pacific Tigers,996.798065673128,WCC,False
Pepperdine Waves,884.3525365316917,WCC,False
Portland Pilots,919.2648223591864,WCC,False
San Diego Toreros,886.6771299719976,WCC,False
San Francisco Dons,1003.1900310869136,WCC,False
Santa Clara Broncos,1200.9478474632174,WCC,False
Seattle U Redhawks,1044.0130481875638,WCC,False
Saint Mary's Gaels,1269.9075894648042,WCC,False
Washington State Cougars,980.9902630629804,WCC,False
